Champion,QName,QDescription,WName,WDescription,EName,EDescription,RName,RDescription,PName,PDescription
Belveth,Void Surge,Bel'Veth dashes in a chosen direction and damages all enemies she passes through.,Above and Below,"Bel'Veth slams her tail to the ground, damaging, knocking up, and slowing her enemies.",Royal Maelstrom,"Bel'Veth roots herself in place, channeling a storm of slashes around her that targets the lowest-health enemy and grants her lifesteal and damage reduction.",Endless Banquet,"Bel'Veth consumes Void coral remnants, transforming into her true form and increasing her max health, attack range, attack speed, and out-of-combat move speed. Consuming the Void coral remnants of a Void epic monster will grant her a longer ultimate duration, as well as the power to summon Void remora.",Death in Lavender ,Bel'Veth gains permanent attack speed stacks after taking down large minions and monsters and champions. She also gains temporary bonus attack speed after using an ability.
Hecarim,Rampage,"Hecarim cleaves nearby enemies dealing physical damage. If Hecarim damages at least one enemy, he increases the damage and lowers the cooldown of subsequent Rampages.",Spirit of Dread,"Hecarim gains Armor and Magic Resist. Hecarim deals magic damage to nearby enemies, and gains Health equal to a percentage of any damage those enemies suffer.",Devastating Charge,Hecarim gains increasing Move Speed and can move through units for a short duration. His next attack knocks the target back and deals additional physical damage based on the distance he has traveled since activating the ability.,Onslaught of Shadows,"Hecarim summons spectral riders and charges forward, dealing magic damage in a line. Hecarim creates a shockwave when he finishes his charge, causing nearby enemies to flee in terror.",Warpath,Hecarim gains Attack Damage equal to a percentage of his bonus Move Speed.
Taliyah,Threaded Volley,"Taliyah throws a volley of rocks in a target direction, moving freely as she casts. This creates Worked Ground below her. If Taliyah casts Threaded Volley on Worked Ground, she consumes the ground to throw a stronger boulder that slows enemies.",Seismic Shove,Taliyah causes an area of ground to erupt and throws enemies within it in a direction of her choosing.,Unraveled Earth,"Taliyah creates a slowing minefield. If enemies dash through it or are knocked through it, the mines explode and stun them.",Weaver's Wall,Taliyah creates a very long wall and then surfs it.,Rock Surfing,Taliyah gains Move Speed near walls.
Sett,Knuckle Down,Sett's next two attacks deal additional damage based off of the target's max health. Sett also gains Move Speed while moving towards enemy champions.,Haymaker,"Sett passively stores damage he takes as Grit. On cast, Sett expends all stored Grit to gain a shield and punch an area, dealing true damage in the center and physical damage on the sides.",Facebreaker,"Sett pulls in all enemies on opposite sides of him, dealing damage and stunning them. If enemies were only on one side, they are slowed instead of stunned.",The Show Stopper,"Sett carries an enemy champion through the air and slams them into the ground, dealing damage and slowing all enemies near where they land.",Pit Grit,"Sett's basic attacks alternate between left and right punch. Right punch is slightly stronger and faster. Sett also hates losing, gaining additional health regeneration based off of his missing health."
Karthus,Lay Waste,"Karthus unleashes a delayed blast at a location, dealing damage to nearby enemies. Deals increased damage to isolated enemies. ",Wall of Pain,Karthus creates a passable screen of leeching energy. Any enemy units that walk through the screen have their Move Speed and Magic Resist reduced for a period.,Defile,"Karthus passively steals energy from his victims, gaining Mana on each kill. Alternatively, Karthus can surround himself in the souls of his prey, dealing damage to nearby enemies, but quickly draining his own Mana.",Requiem,"After channeling for 3 seconds, Karthus deals damage to all enemy champions.",Death Defied,"Upon dying, Karthus enters a spirit form that allows him to continue casting spells."
Akshan,Avengerang,"Akshan throws a boomerang that deals damage going out and coming back, extending its range each time it hits an enemy.",Going Rogue,"Akshan passively marks enemy champions as Scoundrels when they kill his ally champions. If Akshan kills a Scoundrel, he resurrects the allies they killed, gains bonus gold, and clears all marks.  When activated, Akshan enters camouflage and gains Move Speed and Mana Regen while moving towards Scoundrels. Akshan loses the camouflage quickly while he is not in brush or near terrain.",Heroic Swing,"Akshan fires a grappling hook into terrain then swings around it, repeatedly firing at the nearest enemy while swinging. He can jump off early or gets knocked off when colliding with champions or terrain.",Comeuppance,"Akshan locks onto an enemy champion and starts storing bullets. When released, he fires all stored bullets, dealing damage based on missing health to the first champion, minion, or structure hit.",Dirty Fighting,"Every three hits from Akshan's Attacks and Abilities deals bonus damage and grants him a Shield if the target was a champion.  When Akshan Attacks, he fires an additional Attack for reduced damage. If he cancels the additional Attack, he instead gains Move Speed."
Vex,Mistral Bolt,Launch a damaging missile that accelerates mid-flight.,Personal Space,Gain a shield and damage nearby enemies.,Looming Darkness,Summon a damaging and slowing zone that applies Gloom to enemies.,Shadow Surge,Fire a missile that marks an enemy champion.  Recast to dash to them and deal damage.,Doom 'n Gloom,"Vex periodically becomes empowered, causing her next basic Ability to fear enemies and interrupt dashes. Whenever a nearby enemy dashes, Vex applies a mark that can be consumed for bonus damage that also reduces the cooldown of her empowered state."
Lillia,Blooming Blows,"Passively, Lillia gains stacking Move Speed when hitting enemies with spells. She can activate this to deal magic damage to nearby enemies, dealing extra true damage on the edge.",Watch Out! Eep!,"Lillia deals damage in a nearby area, dealing heavy damage in the center.",Swirlseed,"Lillia hurls a seed that damages and slows those it lands on. If it doesn't hit anything, it will continue rolling until it hits a wall or target.",Lilting Lullaby,Lillia causes all enemies with Dream Dust on them to become Drowsy before falling asleep. Those enemies will take extra damage on being forcibly woken up.,Dream-Laden Bough,Hitting a champion or monster with a skill will deal additional max Health damage over time.
Seraphine,High Note,Seraphine deals damage in an area.,Surround Sound,Seraphine Shields and Hastes nearby allies. If she is already Shielded she will Heal nearby allies as well.,Beat Drop,Seraphine deals damage and impairs the movement of enemies in a line.,Encore,"Seraphine deals damage and charms enemies hit, refreshing the range with every allied or enemy champion hit.",Stage Presence,"Every third basic spell will cast twice from Seraphine. Additionally, casting spells near allies grants her bonus magic damage and range on her next basic attack."
Malzahar,Call of the Void,"Malzahar opens up two portals to the Void. After a short delay, they fire projectiles that deal Magic Damage and silence enemy champions.",Void Swarm,Malzahar summons Voidlings to attack nearby enemies.,Malefic Visions,"Malzahar infects his target's mind with cruel visions of their demise, dealing damage over time. Using Malzahar's other spells on the target will refresh the visions.  If the target dies while afflicted by the visions, they pass on to a nearby enemy unit and Malzahar gains Mana. Malzahar's Voidlings are attracted to affected units.",Nether Grasp,Malzahar channels the essence of the Void to suppress an enemy champion over a zone of damaging negative energy.,Void Shift,"When he hasn't recently taken damage or been crowd controlled, Malzahar gains massive damage reduction and crowd control immunity, lingering for a short period after taking damage."
Tristana,Rapid Fire,"Tristana fires her weapon rapidly, increasing her Attack Speed for a short time.",Rocket Jump,"Tristana fires at the ground to propel her to a distant location, dealing damage and slowing surrounding units for a brief period where she lands.",Explosive Charge,"When Tristana kills a unit, her cannonballs burst into shrapnel, dealing damage to surrounding enemies. Can be activated to place a bomb on a target enemy that explodes after a short duration dealing damage to surrounding units.",Buster Shot,"Tristana loads a massive cannonball into her weapon and fires it at an enemy unit. This deals Magic Damage and knocks the target back. If the target is carrying the Explosive Charge bomb, the bomb detonation radius is doubled.",Draw a Bead,Increases Tristana's Attack Range as she levels.
Lucian,Piercing Light,Lucian shoots a bolt of piercing light through a target.,Ardent Blaze,"Lucian shoots a missile that explodes in a star shape, marking and briefly revealing enemies. Lucian gains Move Speed for attacking marked enemies.",Relentless Pursuit,Lucian quickly dashes a short distance. Lightslinger attacks reduce Relentless Pursuit's cooldown.,The Culling,Lucian unleashes a torrent of shots from his weapons.,Lightslinger,"Whenever Lucian uses an ability, his next attack becomes a double-shot. When Lucian is healed or shielded by an ally, or when a nearby enemy Champion is immobilized, his next 2 basic attacks will deal bonus magic damage."
RekSai,Queen's Wrath / Prey Seeker,"Rek'Sai's next 3 basic attacks deal bonus Physical Damage to nearby enemies.  While Burrowed, Rek'Sai launches a burst of void-charged earth that deals Physical Damage and reveals enemies hit.",Burrow / Un-burrow,"Rek'Sai burrows into the ground, gaining new abilities and increased Move Speed. Her vision range is reduced and she cannot use basic attacks.  While Burrowed, Rek'Sai may cast Un-burrow to knock up and damage nearby enemies.",Furious Bite / Tunnel,"Rek'Sai bites her target, dealing double and True Damage if she has max Fury.  While Burrowed, Rek'Sai creates a re-usable, long lasting tunnel. Enemies can destroy it by standing on top of either entrance.",Void Rush,Rek'sai passively marks targets by damaging them. She can activate this ability to become briefly untargetable and lunge at a marked target for heavy damage based on their missing health.,Fury of the Xer'Sai,Rek'sai generates Fury by Attack and hitting with basic abilities. She consumes this Fury while Burrowed to restore health.
Hwei,Subject: Disaster,"Hwei envisions a series of disasters, allowing him to paint a devastating blow.  This ability replaces Hwei's abilities with damaging abilities: Devastating Fire, Severing Bolt, and Molten Fissure.",Subject: Serenity,"Hwei envisions a series of serenities, allowing him to paint invigorating settings.  This ability replaces Hwei's abilities with utility abilities: Fleeting Current, Pool of Reflection, and Stirring Lights.",Subject: Torment,"Hwei envisions a series of torments, allowing him to paint controlling visages.  This ability replaces Hwei's abilities with crowd control abilities: Grim Visage, Gaze of the Abyss, and Crushing Maw.",Spiraling Despair,Hwei paints a vision of pure despair. The first enemy champion struck becomes the center of an expanding painting that slows and damages nearby enemies. The vision explodes after reaching its maximum size or when the champion dies.,Signature of the Visionary,"Hwei primes enemy champions he damages with his abilities for his signature finishing touch.  Hitting an enemy with a second damaging spell completes his signature, leaving it beneath them. The signature detonates after a short delay, dealing magic damage to all enemies in range."
Ivern,Rootcaller,"Ivern conjures a vine, dealing damage and rooting enemy targets hit. Ivern's allies can dash to the rooted target.",Brushmaker,"In brush, Ivern and his nearby allies attacks deal bonus magic damage. Ivern can activate this ability to create a patch of brush.",Triggerseed,Ivern places a shield on an ally which explodes after a short duration slowing and damaging enemies. The shield refreshes if it hits no enemies.,Daisy!,Ivern summons his Sentinel friend Daisy to fight with him. Re-cast command Daisy to attack or move.,Friend of the Forest,"Ivern cannot attack or be attacked by non-epic monsters. Ivern can create magical groves on jungle camps which grow over time. When the grove is fully grown, Ivern may free the monsters to receive gold and experience."
Ziggs,Bouncing Bomb,Ziggs throws a bouncing bomb that deals magic damage.,Satchel Charge,"Ziggs flings an explosive charge that detonates after 4 seconds, or when this ability is activated again. The explosion deals magic damage to enemies, knocking them away. Ziggs is also knocked away, but takes no damage. Ziggs can use the Satchel to hexplode vulnerable enemy turrets.",Hexplosive Minefield,"Ziggs scatters proximity mines that detonate on enemy contact, dealing magic damage and slowing. Successive mine detonations on the same target deal reduced damage.",Mega Inferno Bomb,"Ziggs deploys his ultimate creation, the Mega Inferno Bomb, hurling it an enormous distance. Enemies in the primary blast zone take more damage than those farther away.",Short Fuse,"Periodically, Ziggs' next basic attack deals bonus magic damage. This cooldown is reduced whenever Ziggs uses an ability."
Vi,Vault Breaker,"Vi charges her gauntlets and unleashes a vault shattering punch, carrying her forward. Enemies she hits are knocked back and receive a stack of Denting Blows.",Denting Blows,"Vi's punches break her opponent's Armor, dealing bonus damage and granting her Attack Speed.",Relentless Force,"Vi's next attack blasts through her target, dealing damage to enemies behind it.",Cease and Desist,"Vi runs down an enemy, knocking aside anyone in the way. When she reaches her target she knocks it into the air, jumps after it, and slams it back into the ground.",Blast Shield,Vi charges a shield over time. The shield can be activated by hitting an enemy with an ability.
Qiyana,Elemental Wrath / Edge of Ixtal,"Qiyana swings her weapon, dealing damage with a bonus effect based on her element.",Terrashape,Qiyana dashes to a location and enchants her weapon with an element. Her attacks and abilities deal bonus damage while her weapon is enchanted. ,Audacity,"Qiyana dashes to an enemy, damaging them.",Supreme Display of Talent,"Qiyana sends out a shockwave that detonates whatever elements she hits with it, stunning and damaging nearby enemies.",Royal Privilege,Qiyana's first basic attack or ability against each enemy deals bonus damage.
KogMaw,Caustic Spittle,Kog'Maw launches a corrosive projectile which deals magic damage and corrodes the target's armor and magic resist for a short time. Kog'Maw also gains additional attack speed.,Bio-Arcane Barrage,Kog'Maw's attacks gain range and deal a percent of the target's maximum health as magic damage.,Void Ooze,Kog'Maw launches a peculiar ooze which damages all enemies it passes through and leaves a trail which slows enemies who stand on it.,Living Artillery,"Kog'Maw fires an artillery shell at a great distance dealing magic damage (increased significantly on low health enemies) and revealing non-stealthed targets. Additionally, multiple Living Artilleries in a short period of time cause them to cost additional Mana.",Icathian Surprise,"4 seconds after dying, Kogmaw explodes, dealing true damage to surrounding enemies."
Annie,Disintegrate,"Annie hurls a Mana infused fireball, dealing damage and refunding the Mana cost if it destroys the target.",Incinerate,"Annie casts a blazing cone of fire, dealing damage to all enemies in the area.",Molten Shield,"Grants Annie or an ally a shield, a burst of Move Speed, and damages enemies who strike her with attacks or spells.",Summon: Tibbers,"Annie wills her bear Tibbers to life, dealing damage to units in the area. Tibbers can attack and also burns enemies that stand near him.",Pyromania,"After casting 4 spells, Annie's next offensive spell will stun the target.  Annie begins the game and respawns with Pyromania available."
Senna,Piercing Darkness,"From the twin barrels of her Relic Cannon, Senna fires a unified beam of light and shadow through a target, healing allies and damaging enemies.",Last Embrace,"Senna sends forth a wave of Black Mist. If it hits an enemy it latches onto them hungrily, rooting them and everything nearby after a brief delay.",Curse of the Black Mist,"Senna draws the Mist she has stored in her weapon into a storm around her, embracing darkness and becoming a wraith within. Allies who enter the area are camouflaged and also appear as wraiths as the Mist shrouds them. Wraiths gain increased Move Speed, are unselectable, and hide their identities.",Dawning Shadow,"Senna calls upon the relic stones of fallen Sentinels, splitting her relic cannon into a holy array of shadow and light. She then fires a global beam that shields allies from harm, while damaging enemies caught in the center.",Absolution,"When units die near Senna, their souls are periodically trapped by the Black Mist. Senna can attack these souls to free them, absorbing the Mist that held them in death. Mist fuels her Relic Cannon's power with increased Attack Damage, Attack Range, and Critical Strike Chance. Attacks from Senna's Relic Cannon take longer to fire, deal bonus damage, and briefly grant her a portion of her target's Move Speed."
Heimerdinger,H-28 G Evolution Turret,Heimerdinger lays down a rapid-fire cannon turret equipped with a secondary pass-through beam attack (turrets deal half damage to towers).,Hextech Micro-Rockets,Heimerdinger fires long-range rockets that converge on his cursor.,CH-2 Electron Storm Grenade,"Heimerdinger lobs a grenade at a location, dealing damage to enemy units, as well as stunning anyone directly hit and slowing surrounding units.",UPGRADE!!!,"Heimerdinger invents an upgrade, causing his next spell to have increased effects. ",Hextech Affinity,Gain Move Speed while near allied towers and turrets deployed by Heimerdinger.
Riven,Broken Wings,Riven lashes out in a series of strikes. This ability can be reactivated three times in a short time frame with the third hit knocking back nearby enemies.,Ki Burst,"Riven emits a Ki Burst, damaging and stunning nearby enemies.",Valor,Riven steps forward a short distance and blocks incoming damage.,Blade of the Exile,"Riven empowers her keepsake weapon with energy, and gains Attack Damage and Range. During this time, she also gains the ability to use Wind Slash, a powerful ranged attack, once.",Runic Blade,"Riven's abilities charge her blade, and her basic attacks expend charges to deal an additional damage."
Kayle,Radiant Blast,"Kayle conjures a portal, summoning a celestial sword that pierces through enemies, slowing, damaging, and reducing the resistances of all hit.",Celestial Blessing,"Blessed by the divine, Kayle heals and grants Move Speed to herself and the nearest ally.",Starfire Spellblade,"Passive: Kayle's celestial sword, Virtue, deals bonus magic damage to enemies she attacks.  Active: Kayle's next attack smites her target with celestial fire, dealing bonus damage proportionate to their missing health.",Divine Judgment,Kayle makes an ally invulnerable and calls upon former Aspects of Justice to purify the area around her target with a holy rain of swords.,Divine Ascent,"Kayle's attacks are empowered by the heavens as she levels up and spends skill points. Her wings are lit aflame as she progressively gains Attack Speed, Move Speed, Attack Range, and waves of fire on her attacks."
Gnar,Boomerang Throw / Boulder Toss,"Gnar throws a boomerang that damages and slows enemies it hits before returning to him. If he catches the boomerang its cooldown is reduced.  Mega Gnar instead throws a boulder that stops on the first unit hit, damaging and slowing everything nearby. It can then be picked up to reduce the cooldown.",Hyper / Wallop,"Gnar's attacks and spells hype him up, dealing bonus damage and granting him Move Speed.  Mega Gnar is too enraged to be hyper and instead can rear up on his hind legs and smash down on the area in front of him, stunning enemies in an area.",Hop / Crunch,"Gnar leaps to a location and bounces off the head of any unit he lands on, traveling further.  Mega Gnar is too large to bounce and instead lands with earth-shattering force, dealing damage in an area around him.",GNAR!,"Mega Gnar throws everything around him in a chosen direction, dealing damage and slowing them.  Any enemy that hits a wall is stunned and takes bonus damage.",Rage Gene,"While in combat Gnar generates Rage. At maximum Rage his next ability will transform him into Mega Gnar, granting increased survivability and access to new spells."
Veigar,Baleful Strike,Veigar unleashes a bolt of dark energy that deals magic damage to the first two enemies hit. Units killed by this bolt grant Veigar some ability power permanently.,Dark Matter,"Veigar calls a great mass of dark matter to fall from the sky to the target location, dealing magic damage when it lands. Stacks of Phenomenal Evil reduce Dark Matter's cooldown.",Event Horizon,"Veigar twists the edges of space, creating a cage that Stuns enemies that pass through.",Primordial Burst,"Blasts target enemy champion, dealing a large amount of magic damage, increasing based on the target's missing health.",Phenomenal Evil Power,Veigar is the greatest Evil to ever strike at the hearts of Runeterra - and he's only getting bigger! Striking an enemy Champion with a spell or scoring a takedown grants Veigar permanently increased Ability Power.
Leona,Shield of Daybreak,"Leona uses her shield to perform her next basic attack, dealing bonus magic damage and stunning the target.",Eclipse,"Leona raises her shield to gain Damage Reduction, Armor, and Magic Resist. When the duration first ends, if there are nearby enemies, she will deal magic damage to them and prolong the duration of the effect.",Zenith Blade,"Leona projects a solar image of her sword, dealing magic damage to all enemies in a line. When the image fades, the last enemy champion struck will be briefly immobilized and Leona will dash to them.",Solar Flare,"Leona calls down a beam of solar energy, dealing damage to enemies in an area. Enemies in the center of the area are stunned, while enemies on the outside are slowed.",Sunlight,"Damaging spells afflict enemies with Sunlight for 1.5 seconds. When allied Champions deal damage to those targets, they consume the Sunlight to deal additional magic damage."
Kaisa,Icathian Rain,Kai'Sa shoots a swarm of missiles that seek out nearby targets.  Living Weapon: Icathian Rain is upgraded to shoot more missiles.,Void Seeker,"Kai'Sa shoots a long range missile, marking enemies with her passive.  Living Weapon: Void Seeker is upgraded to apply more passive marks and reduce cooldown on champion hit.",Supercharge,"Kai'Sa briefly increases her Move Speed, then increases her Attack Speed.  Living Weapon: Supercharge is upgraded to briefly grant Invisibility.",Killer Instinct,Kai'Sa dashes near an enemy champion.,Second Skin,"Kai'Sa's basic attacks stack Plasma, dealing increasing bonus magic damage. Allies' immobilizing effects help stack Plasma. Additionally, Kai'Sa's item purchases upgrade her basic spells to have more powerful properties."
Nidalee,Javelin Toss / Takedown,"In human form, Nidalee throws a spiked javelin at her target that gains damage as it flies.  As a cougar, her next attack will attempt to fatally wound her target, dealing more damage the less life they have.",Bushwhack / Pounce,"In human form, Nidalee lays a trap for unwary opponents that, when sprung, damages and reveals its target. As a cougar, she jumps in a direction, dealing damage in an area where she lands.",Primal Surge / Swipe,"In human form, Nidalee channels the spirit of the cougar to heal her allies and imbue them with Attack Speed for a short duration. As a cougar, she claws in a direction, dealing damage to enemies in front of her.",Aspect Of The Cougar,"Nidalee transforms into a cougar, gaining new abilities.",Prowl,"Moving through brush increases Nidalee's Move Speed by 10% for 2 seconds, increased to 30% toward visible enemy champions within 1400 range.  Hitting champions or monsters with Javelin Toss or Bushwhack triggers a <font color='#FFF673'>Hunt</font>, granting <font color='#ee91d7'>True Sight</font> of them for 4 seconds. During this time, Nidalee gains 10% Move Speed (increased to 30% toward the <font color='#FFF673'>Hunted</font> target) and her Takedown and Pounce are enhanced against them."
Jax,Leap Strike,"Jax leaps toward a unit. If they are an enemy, he strikes them with his weapon.",Empower,"Jax charges his weapon with energy, causing his next attack to deal additional damage.",Counter Strike,"Jax's combat prowess allows him to dodge all incoming attacks for a short duration and then quickly counterattack, stunning all surrounding enemies.",Grandmaster-at-Arms,"Every third consecutive attack deals additional Magic Damage. Additionally, Jax can activate this ability to deal damage around himself and strengthen his resolve, increasing his Armor and Magic Resist for a short duration.",Relentless Assault,Jax's consecutive basic attacks continuously increase his Attack Speed.
Sivir,Boomerang Blade,"Sivir hurls her crossblade like a boomerang, dealing damage each way.",Ricochet,"Sivir's next few basic attacks gain additional attack speed and bounce to nearby targets, dealing reduced damage while bouncing.",Spell Shield,Creates a magical barrier that blocks a single enemy ability cast on Sivir. She receives health and a burst of movement speed if a spell is blocked.,On The Hunt,"Sivir leads her allies in battle, granting them a surge of Move Speed for a period of time. In addition, Sivir's attacks reduce her spell cooldowns.",Fleet of Foot,Sivir gains a short burst of Move Speed when she attacks an enemy champion.
XinZhao,Three Talon Strike,Xin Zhao's next 3 standard attacks deal increased damage with the third attack knocking an opponent into the air.,Wind Becomes Lightning,"Xin Zhao slashes in front of himself with his spear, then thrusts it forward, slowing affected enemies and marking them as Challenged.",Audacious Charge,"Xin Zhao charges to an enemy, gaining increased Attack Speed and dealing damage to all enemies in the area, slowing them briefly. Audacious Charge gains increased range against Challenged targets.",Crescent Guard,"Xin Zhao challenges an enemy he damaged recently. Xin Zhao deals damage to nearby enemies based on their current Health and knocks non-challenged targets back, becoming impervious to damage dealt by champions outside of the circle created.",Determination,Every third attack deals bonus damage and heals Xin Zhao.
Soraka,Starcall,"A star falls from the sky at the target location dealing magic damage and slowing enemies. If an enemy champion is hit by Starcall, Soraka recovers Health.",Astral Infusion,Soraka sacrifices a portion of her own health to heal another friendly champion.,Equinox,"Creates a zone at a location that silences all enemies inside. When the zone expires, all enemies still inside are rooted.",Wish,"Soraka fills her allies with hope, instantly restoring health to herself and all allied champions.",Salvation,Soraka runs faster towards nearby low health allies.
Mordekaiser,Obliterate,Mordekaiser smashes the ground with his mace dealing damage to each enemy struck. Damage is increased when hitting a single enemy.,Indestructible,Mordekaiser stores damage he deals and takes to create a shield. He may consume the shield to heal.,Death's Grasp,Mordekaiser pulls all enemies in an area.,Realm of Death,"Mordekaiser drags his victim to a different dimension with him and steals a portion of their stats. If he kills them, he keeps the stats until the victim respawns.",Darkness Rise,Mordekaiser gains a powerful damage aura and Move Speed after landing 3 attacks or spells against champions or monsters.
Malphite,Seismic Shard,"Malphite sends a shard of the earth through the ground at his foe, dealing damage upon impact and stealing Move Speed for 3 seconds.",Thunderclap,"Malphite attacks with such force that it creates a sonic boom. For the next few seconds, his attacks create aftershocks in front of him.",Ground Slam,"Malphite slams the ground, sending out a shockwave that deals magic damage based on his Armor and reduces the Attack Speed of enemies for a short duration.",Unstoppable Force,"Malphite launches himself to a location at high speed, damaging enemies and knocking them into the air.",Granite Shield,"Malphite is shielded by a layer of rock which absorbs damage up to 10% of his maximum Health. If Malphite has not been hit for a few seconds, this effect recharges."
Naafiri,Darkin Daggers,"Naafiri hurls up to two daggers, each inflicting bleed, or each inflicting bonus damage if the target is already bleeding.  Packmates leap to attack champions hit by this skill. ",Hounds' Pursuit,"Naafiri and her packmates dash at an enemy, colliding with the first champion hit and dealing damage.",Eviscerate,"Naafiri dashes and damages enemies in an area around her, recalling her packmates and fully healing them.",The Call of the Pack,"Naafiri empowers her pack and spawns additional packmates, instantly receiving a burst of speed and vision and gaining a shield the first time she hits another champion.  After killing another champion for the first time, all effects are refreshed. ",We Are More,Naafiri spawns packmates that attack the targets of her attacks and abilities.
Zed,Razor Shuriken,Zed and his shadows throw their shurikens.  Each shuriken deals damage to every enemy hit.,Living Shadow,"<font color='#FF9900'>Passive:</font> Zed gains energy whenever he and his shadows strike an enemy with the same ability. Energy can only be gained once per cast ability.  <font color='#FF9900'>Active:</font> Zed's shadow dashes forward, remaining in place for a few seconds. Reactivating Living Shadow will cause Zed to switch positions with this shadow.",Shadow Slash,"Zed and his Shadows slash, dealing damage to nearby enemies. Enemies hit by a Shadow's slash are slowed.",Death Mark,"Zed becomes untargetable and dashes to an enemy champion, marking them. After 3 seconds the mark triggers, repeating a portion of all the damage Zed dealt to the target while they were marked.",Contempt for the Weak,Zed's basic attacks against low health targets deals bonus Magic Damage. This effect can only occur once every few seconds against the same enemy champion.
Jayce,To the Skies! / Shock Blast,Hammer Stance: Leaps to an enemy dealing physical damage and slowing enemies.  Cannon Stance: Fires an orb of electricity that detonates upon hitting an enemy (or reaching the end of its path) dealing physical damage to all enemies hit.,Lightning Field / Hyper Charge,"Hammer Stance: Passive: Restores Mana per strike. Active: Creates a field of lightning damaging nearby enemies for several seconds.  Cannon Stance: Gains a burst of energy, increasing Attack Speed to maximum for several attacks.",Thundering Blow / Acceleration Gate,"Hammer Stance: Deals magic damage to an enemy and knocks them back a short distance.  Cannon Stance: Deploys an Acceleration Gate increasing the Move Speed of all allied champions who pass through it. If Shock Blast is fired through the gate the missile speed, range, and damage will increase.",Mercury Cannon / Mercury Hammer,Hammer Stance: Transforms the Mercury Hammer into the Mercury Cannon gaining new abilities and increased range. The first attack in this form reduces the target's Armor and Magic Resist.  Cannon Stance: Transforms the Mercury Cannon into the Mercury Hammer gaining new abilities and increasing Armor and Magic Resist. The first attack in this form deals additional magic damage.,Hextech Capacitor,When Jayce swaps weapons he gains Move Speed for a short duration.
Tryndamere,Bloodlust,"Tryndamere thrives on the thrills of combat, increasing his Attack Damage as he is more and more wounded. He can cast Bloodlust to consume his Fury and heal himself.",Mocking Shout,"Tryndamere lets out an insulting cry, decreasing surrounding champions' Attack Damage. Enemies with their backs turned to Tryndamere also have their Move Speed reduced.",Spinning Slash,"Tryndamere slices toward a target unit, dealing damage to enemies in his path.",Undying Rage,"Tryndamere's lust for battle becomes so strong that he is unable to die, no matter how wounded he becomes.",Battle Fury,"Tryndamere gains Fury for each attack, critical strike, and killing blow he makes. Fury passively increases his Critical Strike Chance and can be consumed with his Bloodlust spell."
Kayn,Reaping Slash,"Kayn dashes, then slashes. Both deal damage.",Blade's Reach,Kayn damages and slows targets in a line.,Shadow Step,Kayn can walk through terrain.,Umbral Trespass,"Kayn hides in an enemy's body, dealing massive damage when he bursts out.",The Darkin Scythe,"Kayn wields an ancient weapon and fights Rhaast, the darkin within it, for control. Either the <font color='#fe5c50'>Darkin</font> will triumph, or Kayn will master Rhaast and become the <font color='#8484fb'>Shadow Assassin</font>.  <font color='#fe5c50'>Darkin:</font> Heal for a percentage of spell damage dealt to champions.  <font color='#8484fb'>Shadow Assassin:</font> For the first few seconds in combat with enemy champions, deal bonus damage."
Ornn,Volcanic Rupture,"Ornn slams the ground, sending out a fissure dealing damage and slowing enemies hit. After a small delay, a magma pillar forms at the end location.",Bellows Breath,"Ornn advances, breathing fire. Enemies hit by the final gout of flame become Brittle.",Searing Charge,"Ornn charges, dealing damage to enemies he passes through. If Ornn collides with terrain while charging, the impact creates a shockwave around him which deals damage and knocks up enemies.",Call of the Forge God,"Ornn summons a massive elemental at a location which travels toward him with increasing speed. Enemies run over by the elemental take damage, are slowed and are made Brittle. Ornn can recast the ability to charge into the elemental, redirecting it in the direction he hits it, causing the elemental to affect any enemies it runs over to be knocked up, dealing the same damage and re-applying Brittle.",Living Forge,"Ornn gains an additional bonus Armor and Magic Resistance from all sources.  Ornn can spend gold to forge non-consumable items anywhere.  Additionally, he can create masterwork items for himself and for his allies."
Brand,Sear,"Brand launches a ball of fire forward that deals magic damage. If the target is ablaze, Sear will stun the target for 1.5 seconds.",Pillar of Flame,"After a short delay, Brand creates a Pillar of Flame at a target area, dealing magic damage to enemy units within the area. Units that are ablaze take an additional 25% damage.",Conflagration,"Brand conjures a powerful blast at his target that spreads to nearby enemies, dealing magic damage. If the target is ablaze, Conflagration's spread is doubled.",Pyroclasm,"Brand unleashes a devastating torrent of fire that bounces up to 5 times off of Brand and nearby enemies, dealing magic damage to enemies each time bounce. Bounces prioritize stacking Blaze to max on Champions. If a target is ablaze, Pyroclasm will briefly slow them.",Blaze,"Brand's spells light his targets ablaze, dealing damage over 4 seconds, stacking up to 3 times. If Brand kills an enemy while it is ablaze he regains mana. When Blaze reaches max stacks on a Champion or large monster, it becomes unstable. It detonates in 2 seconds, applying spell effects and dealing massive damage in an area around the victim."
